1.0090000e+02 3.2100000e+01 2.5000000e+00 2.6151517e+00 2.5996214e+00 2.7206875e+00 2.7069522e+00 1.0193322e-02
1.0090000e+02 3.2100000e+01 7.5000000e+00 2.6431287e+00 2.6971713e+00 2.6793470e+00 2.6978219e+00 1.7129604e-02
1.0090000e+02 3.2100000e+01 1.2500000e+01 2.6700599e+00 2.7377416e+00 2.7082903e+00 2.6897448e+00 2.1970740e-02
1.0090000e+02 3.2100000e+01 1.7500000e+01 2.6854290e+00 2.7439043e+00 2.7295969e+00 2.6868274e+00 2.4799450e-02
1.0090000e+02 3.2100000e+01 2.2500000e+01 2.7040431e+00 2.7381625e+00 2.7769195e+00 2.6906765e+00 2.6583070e-02
1.0090000e+02 3.2100000e+01 2.7500000e+01 2.7095230e+00 2.7249749e+00 2.7875305e+00 2.6995671e+00 2.7791287e-02
1.0090000e+02 3.2100000e+01 3.2500000e+01 2.7310073e+00 2.7626379e+00 2.7966082e+00 2.7122215e+00 2.8661311e-02
1.0090000e+02 3.2100000e+01 3.7500000e+01 2.7408733e+00 2.7380738e+00 2.8168109e+00 2.7270946e+00 2.9320492e-02
1.0090000e+02 3.2100000e+01 4.2500000e+01 2.7557095e+00 2.7576280e+00 2.8168109e+00 2.7427598e+00 2.9840069e-02
1.0090000e+02 3.2100000e+01 4.7500000e+01 2.8450193e+00 2.7923665e+00 3.0130300e+00 2.7725851e+00 3.0262003e-02
1.0090000e+02 3.2100000e+01 5.2500000e+01 2.8833847e+00 2.8541414e+00 3.0130300e+00 2.8103687e+00 3.0612501e-02
1.0090000e+02 3.2100000e+01 5.7500000e+01 3.0016617e+00 2.9027833e+00 3.1339403e+00 3.0427232e+00 3.0908852e-02
1.0090000e+02 3.2100000e+01 6.2500000e+01 3.0369743e+00 2.9809691e+00 3.1339403e+00 3.0568340e+00 3.1163013e-02
1.0090000e+02 3.2100000e+01 6.7500000e+01 3.1091823e+00 3.0569211e+00 3.2449059e+00 3.0779436e+00 3.1383569e-02
