114.6938	23.73484	河源
111.9579	21.84523	阳江
113.0213	23.7196	清远
113.7488	23.04854	东莞
113.3715	22.52685	中山
116.6367	23.66771	潮州
116.3498	23.54298	揭阳县
112.04	22.93319	云浮县
108.3118	22.80654	南宁
109.4028	24.31041	柳州
110.2867	25.28188	桂林
111.3059	23.48662	梧州
109.1192	21.4798	北海
108.3566	21.76894	防城各族自治县
108.6147	21.94987	钦州
109.6084	23.09909	贵港
110.1415	22.6319	玉林
106.6121	23.90158	百色
111.5346	24.41726	贺县
108.0516	24.69689	河池
109.2329	23.73144	来宾县
107.3551	22.4202	崇左县
110.3465	20.03179	海口
109.5078	18.23404	三亚
106.5103	29.55818	重庆
104.0818	30.66106	成都
104.7764	29.36772	自贡
101.6984	26.5548	攀枝花
105.4378	28.88199	泸州
104.3915	31.13045	德阳
104.7486	31.45635	绵阳
105.8317	32.44397	广元
105.5697	30.50339	遂宁
105.0534	29.57757	内江
103.7514	29.56822	乐山
106.0816	30.79582	南充
103.8315	30.0505	眉山县
104.6169	28.77026	宜宾
106.6318	30.47443	广安县
107.5003	31.2247	达县
102.9827	29.98229	YaAn
106.7548	31.84901	巴中县
104.6502	30.12267	资阳县
106.7114	26.57687	贵阳
104.8733	26.57677	六盘水
106.9294	27.69539	遵义
105.9261	26.24426	安顺
105.2824	27.3063	毕节
109.1927	27.72217	铜仁
102.7046	25.04384	昆明
103.7947	25.49617	曲靖
102.5332	24.35497	玉溪
99.16872	25.1168	保山
103.7149	27.34228	昭通
100.2343	26.87667	丽江纳西族自治县
100.9752	22.79548	思茅
100.0878	23.87993	临沧
108.949	34.26168	西安
109.0573	35.07546	铜川
107.1384	34.38229	宝鸡
108.7101	34.33722	咸阳
109.5008	34.50153	渭南
109.4713	36.59387	延安
107.0344	33.07815	汉中
109.7574	38.29728	榆林
109.0258	32.68987	安康
109.9302	33.87193	商州
103.7501	36.06804	兰州
98.27471	39.80265	嘉峪关
102.1657	38.49519	金昌
104.1838	36.53942	白银
105.7152	34.58427	天水
102.6335	37.92691	武威
100.4503	38.93506	张掖
106.6831	35.53552	平凉
98.51112	39.74497	酒泉
107.6362	35.73856	西峰
104.6186	35.57524	定西
104.9293	33.39484	武都县
101.7875	36.60945	西宁
106.2719	38.46801	银川
106.3821	39.02428	石嘴山
106.1991	37.9855	吴忠
106.2786	36.01326	固原
105.1866	37.51325	中卫县
87.60612	43.79094	乌鲁木齐
84.86361	45.59651	克拉玛依
107.42	40.75	巴彦卓尔
126.42	41.93	白山
117.48	30.67	池州
107.5	31.22	达州
109.8	39.62	鄂尔多斯
108.35	21.7	防城港
116.35	28	抚州
111.55	24.42	贺州
119.77	49.22	呼伦贝尔
120.83	40.72	葫芦岛
114.87	30.45	黄冈
112.75	37.68	晋中
112.23	30.33	荆州
104.92	33.4	陇南
111.13	37.52	吕梁
107.63	35.73	庆阳
109.93	33.87	商洛
124.82	45.13	松原
121.43	28.68	台州
106.82	39.67	乌海
113.12	40.98	乌兰察布
118.75	30.95	宣城
110.47	29.13	张家界
